hs4,label,hs2
8807,Aircraft and spacecraft,88
8901,"Cruise ships, excursion boats and similar vessels, principally designed for the transport of persons, ferry boats of all kinds",89
8902,"Fishing vessels, factory ships and other vessels",89
8903,Yachts and other vessels,89
8904,Tugs and pusher craft,89
8905,Dredgers,89
8906,Vessels,89
8907,Rafts,89
8908,Vessels and other floating structures,89
9001,"Optical fibres, optical fibre bundles and cables",90
9002,Lenses,90
9003,Frames and mountings,90
9004,Sunglasses,90
9005,Binoculars,90
9006,"Cameras, photographic (excluding cinematographic)",90
9011,"Microscopes, compound optical",90
9012,Microscopes (excluding optical microscopes),90
9013,Optical appliances and instruments,90
9014,Navigational instruments and appliances,90
9015,Rangefinders,90
9017,Drafting tables and machines,90
9018,"Medical, surgical instruments and appliances",90
9019,Mechano-therapy appliances,90
9020,Breathing appliances and gas masks,90
9021,Orthopaedic or fracture appliances,90
9022,Apparatus based on the use of x-rays,90
9023,"Instruments, apparatus and models",90
9024,Machines and appliances,90
9025,Thermometers and pyrometers,90
9026,Instruments and apparatus,90
9027,Instruments and apparatus,90
9028,Meters,90
9029,Meters and counters,90
9030,Instruments and apparatus,90
9031,Machines,90
9032,Regulating or controlling instruments and apparatus,90
9033,"Machines and appliances, instruments or apparatus of chapter 90",90
9101,Wrist-watches,91
9102,Wrist-watches,91
9105,Clocks,91
9111,Watch cases,91
9113,"Watch straps, watch bands, watch bracelets, and parts thereof",91
9114,Clock or watch parts,91
9207,Musical instruments,92
9209,Musical instrument strings,92
9301,Military weapons,93
9302,Revolvers and pistols,93
9303,Firearms,93
9304,Firearms,93
9305,Firearms,93
9306,Ammunition,93
9401,Seats,94
9402,Chairs,94
9403,Furniture,94
9404,Mattress supports,94
9405,Luminaires and light fittings,94
9406,Buildings,94
9503,"Tricycles, scooters, pedal cars and similar wheeled toys",95
9504,Billiard articles and accessories of all kinds,95
